crop,disease,disease_status,causal_agent,symptoms,chemical_solutions,biological_solutions,cultural_solutions,preventive_measures,organic_solutions,soil_management,irrigation_advice,nutrition_management,season_timing,firestore_tags
Apple,Apple Scab,Diseased,Venturia inaequalis (fungus),Olive-green to brown scab-like lesions on leaves and fruit; premature defoliation; distorted/cracked fruit,"Apply fungicides: Captan (0.2%), Mancozeb (0.25%), Myclobutanil (0.1%), Thiophanate-methyl (0.1%), Dodine (0.065%); spray every 7-10 days during wet season",Apply Bacillus subtilis (Serenade); use Trichoderma-based bioagents; apply neem oil (2-3ml/L) sprays; use copper-based organic fungicides,"Remove and destroy fallen infected leaves; prune infected branches; improve air circulation; avoid overhead irrigation; plant resistant varieties (Liberty, Freedom, Enterprise)",Apply protective fungicide sprays before infection; maintain orchard sanitation; use scab-resistant rootstocks; monitor weather for infection periods (Mills Table),Sulfur dust (3kg/100L); copper hydroxide sprays; potassium bicarbonate solution; garlic extract spray,Maintain soil pH 6.0-7.0; avoid waterlogging; improve drainage,Use drip irrigation; avoid wetting foliage; irrigate at base of plant,Balanced NPK; avoid excessive nitrogen; ensure adequate calcium for cell wall strength,Start protective sprays at bud break; continue until 2 weeks after petal fall,"apple,scab,fungal,foliar_disease"
Apple,Black Rot,Diseased,Botryosphaeria obtusa (fungus),Brown to black rotting lesions on fruit; 'frog-eye' leaf spots; cankers on branches; mummified fruit,Captan (0.2%); Thiophanate-methyl (0.1%); Myclobutanil (0.1%); Azoxystrobin; Pyraclostrobin; apply during growing season every 10-14 days,Bacillus subtilis sprays; Trichoderma harzianum soil application; neem oil (3ml/L); Streptomyces lydicus-based products,Remove mummified fruit and dead wood; prune cankers 15cm below visible infection; sterilize pruning tools; remove fire blight-infected tissue,Maintain tree vigor through proper nutrition; avoid mechanical wounds; apply wound sealants after pruning; keep orchard free of debris,Bordeaux mixture (1%); copper oxychloride; lime sulfur during dormant season,Good drainage essential; avoid compaction; mulch with clean material,Drip irrigation preferred; do not wet fruit and foliage,Balanced fertilization; avoid excessive nitrogen which promotes susceptibility,Spray from pink stage through harvest; critical during wet periods,"apple,black_rot,fungal,fruit_rot,canker"
Apple,Cedar Apple Rust,Diseased,Gymnosporangium juniperi-virginianae (fungus),Bright orange-yellow spots on upper leaf surface; tube-like structures on leaf undersides; fruit and twig infection; premature defoliation,Myclobutanil (0.1%); Propiconazole; Triadimefon; Fenarimol; Azoxystrobin; apply from tight cluster through 2nd cover spray,Neem oil sprays (2-3ml/L); sulfur-based organic fungicides; Bacillus subtilis applications,"Remove nearby eastern red cedar and juniper trees within 500m if possible; plant resistant apple varieties (Redfree, Williams Pride, Gold Rush)",Monitor cedar trees for orange gelatinous galls in spring; apply protective fungicides before spore release; prune galls from cedar trees in late winter,Sulfur dust applications; copper fungicides; neem-based products,Ensure good soil health; proper drainage; avoid waterlogging,Avoid wetting leaves; use drip or furrow irrigation,Balanced NPK; potassium improves resistance; avoid excessive nitrogen,Critical spray timing: from tight cluster to 2nd cover (April-June),"apple,cedar_rust,fungal,rust_disease"
Apple,Healthy,Healthy,None,No symptoms - plant is healthy,Preventive fungicide schedule: Captan sprays from green tip; dormant oil spray before bud break; copper sprays in dormant season,Regular biocontrol applications: Bacillus subtilis; mycorrhizal inoculants for root health; compost tea sprays to boost immunity,Annual pruning for canopy airflow; remove dead wood; weed control under canopy; fruit thinning for proper maturity,Maintain spray calendar; scout weekly for pests and disease; keep records of weather and disease pressure; use integrated pest management,Kaolin clay coating deters insects; neem oil preventive sprays; liquid seaweed foliar feed,Test soil annually; maintain pH 6.0-7.0; add compost; deep ripping for compaction,Drip irrigation 25-50L/tree/week in dry season; avoid waterlogging,Annual soil test; NPK 10-10-10 in spring; foliar calcium sprays during fruit development,Year-round management calendar essential for continued health,"apple,healthy,preventive,maintenance"
Blueberry,Healthy,Healthy,None,No symptoms - plant is healthy,Preventive sprays: Captan or Chlorothalonil for Mummy Berry prevention; dormant copper sprays; insecticide rotation for SWD control,Mycorrhizal fungi inoculants (ericoid mycorrhizae essential for blueberries); Trichoderma applications; neem oil preventive,Pruning to maintain open bush structure; remove old canes over 3 years; bird netting; weed management; clean equipment between rows,Monitor for Mummy Berry mummies; scout for spotted wing drosophila weekly; remove infected fruit promptly; maintain sanitation,Sulfur sprays for fungal prevention; iron sulfate for pH; acidified water irrigation,Maintain acidic pH 4.5-5.5 (CRITICAL); add pine bark/peat for acidification; excellent drainage required; sawdust mulch,Consistent moisture critical; drip irrigation at 25-40mm/week; never waterlog,Acid-forming fertilizers (ammonium sulfate); avoid chloride; iron chelates if yellowing; sulfur for pH management,Annual maintenance; winter pruning; spring bud monitoring for frost protection,"blueberry,healthy,preventive,maintenance,acidic_soil"
Cherry,Powdery Mildew,Diseased,Podosphaera clandestina (fungus),"White powdery fungal growth on young leaves, shoots, and fruit; leaves curl and distort; russet patches on fruit surface",Myclobutanil (0.1%); Trifloxystrobin; Azoxystrobin; Propiconazole; Sulfur (not when temp >32°C); Potassium bicarbonate; spray every 7-14 days,Ampelomyces quisqualis (AQ10); Bacillus subtilis (Serenade); neem oil (3ml/L); whey or skim milk spray (10%),Remove infected shoots immediately; improve air circulation through pruning; avoid excessive nitrogen fertilization; plant resistant varieties,Begin sprays at shuck split; monitor young succulent tissue; avoid drought stress which increases susceptibility,Potassium bicarbonate (5g/L); baking soda solution; sulfur dust; copper-based fungicides,Well-drained soil; pH 6.0-7.0; avoid overwatering,Drip irrigation; avoid wetting foliage; water early morning,Avoid excess nitrogen; balanced K and Ca; silicon application may improve resistance,Most critical from shuck split through harvest; monitor young shoot growth,"cherry,powdery_mildew,fungal,foliar"
Cherry,Healthy,Healthy,None,No symptoms - plant is healthy,Preventive dormant sprays: lime sulfur + horticultural oil; copper sprays in fall after leaf drop; preventive fungicide at bud swell,Bacillus subtilis preventive sprays; mycorrhizal root inoculants; compost applications; Trichoderma soil treatments,Annual pruning for open vase structure; remove dead wood; weed management; fruit thinning for sizing,Spray calendar maintenance; brown rot prevention at bloom; bacterial canker monitoring; winter protection in cold climates,Copper hydroxide dormant sprays; kaolin clay for insect prevention; neem oil preventive schedule,Well-drained loam; pH 6.0-7.0; organic matter 3-5%; annual compost application,Drip irrigation; careful water management at fruit ripening to prevent splitting,NPK 8-8-8 in spring; calcium sprays during fruit development; potassium for fruit quality,Year-round management; critical at bloom for brown rot prevention; post-harvest copper sprays,"cherry,healthy,preventive,maintenance"
Corn (Maize),Cercospora Leaf Spot / Gray Leaf Spot,Diseased,Cercospora zeae-maydis (fungus),Rectangular grayish-tan lesions parallel to leaf veins; lesions have distinct parallel edges; severe cases cause blighting of entire leaf,Azoxystrobin (0.1%); Propiconazole; Pyraclostrobin + Metconazole; Trifloxystrobin; Apply at VT (tasseling) to R1 (silking) for best results,Bacillus subtilis foliar sprays; Trichoderma-based biocontrol; neem oil applications; biocontrol agents applied at early growth stages,Crop rotation (minimum 2 years away from corn); deep tillage to bury residue; remove/destroy infected crop residue; plant hybrids with GLS tolerance ratings above 5,Plant tolerant hybrids (check disease rating); use 2-year crop rotation; manage corn residue; scout fields at VT stage,Copper-based fungicides; sulfur sprays; neem-based products; biocontrol bacterial sprays,Avoid compaction; proper drainage; balanced nutrition to strengthen plant defense,Avoid prolonged leaf wetness; use furrow or drip irrigation where possible,Adequate nitrogen (120-150kg/ha); balanced K for stalk strength; zinc application improves resistance,Most critical fungicide application at tasseling (VT) through R2 stage,"corn,gray_leaf_spot,cercospora,fungal,foliar"
Corn (Maize),Common Rust,Diseased,Puccinia sorghi (fungus),"Small, oval to elongated, powdery, cinnamon-brown pustules on both leaf surfaces; pustules rupture releasing rusty-brown spores; severe infection causes yellowing",Mancozeb (0.25%); Propiconazole; Azoxystrobin; Trifloxystrobin; Tebuconazole; Apply at first sign of rust; 2-3 sprays at 10-day intervals,Bacillus subtilis sprays; neem oil (3ml/L); Trichoderma viride foliar applications; plant defense activators (SAR inducers),Plant rust-resistant hybrids; early planting to escape peak rust season; destroy volunteer corn; monitor fields regularly,Select hybrids with rust resistance ratings >7; early season scouting; apply fungicides when disease severity exceeds 5% on lower leaves before tasseling,Sulfur-based fungicides; neem oil; Bordeaux mixture; potassium bicarbonate sprays,Well-drained soil; avoid waterlogging; balanced soil fertility,Avoid overhead irrigation; furrow or drip preferred; reduce leaf wetness duration,Adequate NPK; silicon supplements improve disease resistance; potassium strengthens cell walls,Monitor from V6 stage; apply fungicides by VT (tasseling) if infection pressure high,"corn,common_rust,puccinia,fungal,rust"
Corn (Maize),Northern Leaf Blight,Diseased,Exserohilum turcicum (fungus),"Large, cigar-shaped, grayish-green to tan lesions 5-20cm long on leaves; lesions develop from lower leaves upward; DK spores visible in lesions",Azoxystrobin (0.1%); Propiconazole (0.1%); Trifloxystrobin; Pyraclostrobin; apply at VT to R1 stage; FRAC group rotation recommended,Bacillus subtilis (Serenade); Trichoderma-based products; neem oil foliar sprays; induced systemic resistance activators,Rotate with non-host crops for 2+ years; till crop residue deeply; use resistant hybrids (HtN gene hybrids); remove crop debris after harvest,Plant resistant hybrids; crop rotation; field scouting from V8 stage; apply fungicides when lesions first appear on lower leaves before tasseling,Copper hydroxide sprays; Bordeaux mixture; sulfur applications; compost tea foliar spray,Good drainage; avoid compaction; organic matter for soil health,Drip or furrow irrigation; minimize leaf wetness; avoid late evening irrigation,Balanced N-P-K; avoid excess nitrogen which promotes lush susceptible tissue; silicon application (100-150kg/ha) improves resistance,Most vulnerable: V8 through silking; critical fungicide window: VT to R1,"corn,northern_leaf_blight,exserohilum,fungal,foliar"
Corn (Maize),Healthy,Healthy,None,No symptoms - plant is healthy,Preventive fungicide at tasseling in high-risk areas; seed treatment with fungicide + insecticide; soil insecticide for rootworm control,Mycorrhizal seed inoculants; Bacillus subtilis seed treatment; Trichoderma root inoculants; compost for soil biology,2-year rotation minimum; proper plant spacing (65-75cm rows); weed management; timely harvest,Scout fields weekly; maintain spray records; use certified disease-free seed; choose hybrids suited to local disease pressure,Seed treatment with Trichoderma; compost applications; silica supplements; seaweed liquid fertilizer,pH 5.8-7.0; deep tillage; organic matter >3%; avoid compaction with controlled traffic,60-70mm/week during vegetative; 100-150mm at pollination; furrow or drip preferred,N: 150-200kg/ha split; P: 60-80kg/ha; K: 60-100kg/ha; Zn: 5-10kg/ha; B: 1-2kg/ha,Year-round field management; critical periods at emergence and tasseling,"corn,healthy,preventive,maintenance"
Grape,Black Rot,Diseased,Guignardia bidwellii (fungus),Circular tan to brown leaf spots with dark borders; fruit starts as white spots then turns brown-black; shriveled mummified berries remain on cluster,Mancozeb (0.25%); Myclobutanil; Captan; Azoxystrobin; Tebuconazole; spray every 7-10 days from bud break; critical coverage at 2-4 weeks after bloom,Bacillus subtilis (Serenade Max); Trichoderma-based biocontrol; copper-based organic products; neem oil preventive sprays,Remove mummified berries from vines and ground; prune infected canes; thin canopy for air circulation; remove leaves around fruit clusters at bloom,Apply protectant fungicides from bud break; critical spray window is 2-4 weeks post-bloom; remove overwintering mummies before bud break,Copper hydroxide (0.3%); Bordeaux mixture; sulfur-copper mixtures; neem oil,Well-drained soils; avoid waterlogging; proper vine row orientation for sun exposure and drying,Drip irrigation only; avoid wetting foliage; irrigate in early morning,Balanced NPK; avoid excess nitrogen; potassium for berry quality and disease resistance,Critical period: 2-4 weeks after bloom; continue through veraison,"grape,black_rot,guignardia,fungal,fruit_rot"
Grape,Esca (Black Measles),Diseased,"Phaeomoniella chlamydospora, Phaeoacremonium spp. (fungal complex)",Tiger-stripe pattern on leaves (interveinal chlorosis); dark berries with internal brown streaking; apoplexy (sudden vine death); wood shows brown-black internal staining,No curative treatment available; sodium arsenite (banned in many countries); thiophanate-methyl wound treatments; tebuconazole wound protectants after pruning,Trichoderma asperellum wound treatments; Bacillus subtilis wound protectants; Gliocladium roseum biocontrol; apply bioagents within 24h of pruning,Remove and destroy severely infected vines; prune in dry weather; remove dead arms and retrain; apply wound sealants after all cuts; delay pruning until late winter,Use certified disease-free planting material; protect pruning wounds immediately; avoid pruning in wet weather; disinfect pruning tools between vines,Wound sealants with essential oils; copper-based wound protectants; garlic extract wound treatment; Trichoderma paste wound application,Improve drainage; reduce vine stress; balanced soil fertility; avoid drought stress,Consistent irrigation to reduce vine stress; avoid drought followed by excess water,Balanced nutrition to maintain vine vigor; avoid over-cropping; magnesium and potassium for canopy health,Pruning wound protection is critical in late winter; monitor throughout season,"grape,esca,black_measles,trunk_disease,wood_rot"
Grape,Leaf Blight (Isariopsis Leaf Spot),Diseased,Pseudocercospora vitis (formerly Isariopsis clavispora) (fungus),Irregular dark brown lesions on upper leaf surface; grayish spore masses on underside; yellowing around lesions; severe defoliation in late season,Mancozeb (0.25%); Copper oxychloride; Captan; Azoxystrobin; Tebuconazole; apply every 10-14 days during rainy season,Bacillus subtilis foliar sprays; Trichoderma-based products; neem oil (3ml/L) spray schedule; copper-based organic fungicides,Remove infected leaves and destroy; improve canopy air circulation through leaf removal; avoid overhead irrigation; weed management under vines,Preventive fungicide program from post-bloom; monitor during high humidity periods; maintain open canopy,Bordeaux mixture (1%); copper hydroxide; sulfur-copper combinations; neem extract spray,Good drainage; mulching to prevent soil splash; pH 6.0-6.5,Drip irrigation; never wet foliage; irrigate in early morning if overhead systems used,Balanced NPK; potassium improves disease resistance; calcium for cell wall strength,Most common in late summer/monsoon; spray program from veraison onward,"grape,leaf_blight,isariopsis,fungal,foliar"
